0 x, -nan
0 y, -nan
0 z, -nan
1 x, -nan
1 y, -nan
1 z, -nan
2 x, -nan
2 y, -nan
2 z, -nan
3 x, -nan
3 y, -nan
3 z, -nan
4 x, -nan
4 y, -nan
4 z, -nan
5 x, -nan
5 y, -nan
5 z, -nan
62 x, 1.000000
62 y, -0.000000
62 z, -0.000000
63 x, 1.000000
63 y, -0.000000
63 z, -0.000000
64 x, 1.000000
64 y, 0.000000
64 z, 0.000000
65 x, 1.000000
65 y, 0.000000
65 z, -0.000000
66 x, 1.000000
66 y, -0.000000
66 z, 0.000000
67 x, 0.897992
67 y, -0.418047
67 z, 0.137284
68 x, -0.895218
68 y, 0.438735
68 z, -0.078072
69 x, -1.000000
69 y, 0.000000
69 z, -0.000000
70 x, -1.000000
70 y, 0.000000
70 z, -0.000000
71 x, -1.000000
71 y, 0.000000
71 z, -0.000000
72 x, -1.000000
72 y, -0.000000
72 z, -0.000000
73 x, -1.000000
73 y, 0.000000
73 z, -0.000000
74 x, -1.000000
74 y, -0.000000
74 z, 0.000000
75 x, -1.000000
75 y, -0.000000
75 z, 0.000000
76 x, -1.000000
76 y, 0.000000
76 z, -0.000000
77 x, -1.000000
77 y, 0.000000
77 z, -0.000000
78 x, -1.000000
78 y, -0.000000
78 z, 0.000000
79 x, -1.000000
79 y, -0.000000
79 z, 0.000000
80 x, -1.000000
80 y, -0.000000
80 z, -0.000000
81 x, -1.000000
81 y, -0.000000
81 z, -0.000000
82 x, -1.000000
82 y, -0.000000
82 z, -0.000000
83 x, -1.000000
83 y, -0.000000
83 z, -0.000000
84 x, -1.000000
84 y, 0.000000
84 z, -0.000000
85 x, -1.000000
85 y, -0.000000
85 z, 0.000000
86 x, -1.000000
86 y, -0.000000
86 z, -0.000000
87 x, -1.000000
87 y, -0.000000
87 z, -0.000000
88 x, -1.000000
88 y, 0.000000
88 z, 0.000000
89 x, -0.895218
89 y, -0.438735
89 z, -0.078072
90 x, 0.897992
90 y, 0.418047
90 z, 0.137284
91 x, 1.000000
91 y, 0.000000
91 z, 0.000000
92 x, 1.000000
92 y, 0.000000
92 z, 0.000000
93 x, 1.000000
93 y, -0.000000
93 z, 0.000000
94 x, 1.000000
94 y, 0.000000
94 z, 0.000000
95 x, 1.000000
95 y, -0.000000
95 z, 0.000000
96 x, 1.000000
96 y, 0.000000
96 z, 0.000000
97 x, 1.000000
97 y, -0.000000
97 z, -0.000000
98 x, 1.000000
