0 x, 0.001617
0 y, 0.002219
0 z, 0.999996
1 x, 0.000000
1 y, 0.003153
1 z, 0.999995
2 x, -0.001617
2 y, 0.002219
2 z, 0.999996
3 x, -0.001617
3 y, -0.002219
3 z, 0.999996
4 x, -0.000000
4 y, -0.003153
4 z, 0.999995
5 x, 0.001617
5 y, -0.002219
5 z, 0.999996
6 x, 0.004867
6 y, 0.002586
6 z, 0.999985
7 x, 0.001632
7 y, 0.005285
7 z, 0.999985
8 x, 0.006245
8 y, 0.004891
8 z, 0.999969
9 x, 0.001322
9 y, 0.008900
9 z, 0.999960
10 x, -0.000337
10 y, 0.008521
10 z, 0.999964
11 x, 0.000000
11 y, 0.008924
11 z, 0.999960
12 x, -0.002507
12 y, 0.008399
12 z, 0.999962
13 x, -0.004147
13 y, 0.004868
13 z, 0.999980
14 x, -0.003775
14 y, 0.003465
14 z, 0.999987
15 x, -0.005527
15 y, 0.000000
15 z, 0.999985
16 x, -0.003292
16 y, -0.004419
16 z, 0.999985
17 x, -0.004582
17 y, -0.003931
17 z, 0.999982
18 x, -0.002507
18 y, -0.008399
18 z, 0.999962
19 x, -0.000376
19 y, -0.008846
19 z, 0.999961
20 x, -0.000000
20 y, -0.008598
20 z, 0.999963
21 x, 0.001322
21 y, -0.008900
21 z, 0.999960
22 x, 0.003609
22 y, -0.007038
22 z, 0.999969
23 x, 0.003797
23 y, -0.003478
23 z, 0.999987
24 x, 0.004867
24 y, -0.002586
24 z, 0.999985
25 x, 0.008165
25 y, 0.002827
25 z, 0.999963
26 x, 0.007655
26 y, 0.003273
26 z, 0.999965
27 x, 0.007417
27 y, 0.008248
27 z, 0.999938
28 x, 0.006019
28 y, 0.009174
28 z, 0.999940
29 x, 0.005461
29 y, 0.012478
29 z, 0.999907
30 x, 0.002627
30 y, 0.014135
30 z, 0.999897
31 x, 0.003395
31 y, 0.014371
31 z, 0.999891
32 x, 0.000580
32 y, 0.015864
32 z, 0.999874
33 x, -0.001129
33 y, 0.015047
33 z, 0.999886
34 x, -0.001684
34 y, 0.015271
34 z, 0.999882
35 x, -0.004190
35 y, 0.013861
35 z, 0.999895
36 x, -0.004768
36 y, 0.011676
36 z, 0.999920
37 x, -0.006566
37 y, 0.010575
37 z, 0.999923
38 x, -0.006975
38 y, 0.006353
38 z, 0.999955
39 x, -0.007957
39 y, 0.005620
39 z, 0.999953
40 x, -0.008059
40 y, 0.000000
40 z, 0.999968
41 x, -0.008059
41 y, 0.000000
41 z, 0.999968
42 x, -0.007957
42 y, -0.005620
42 z, 0.999953
43 x, -0.006975
43 y, -0.006353
43 z, 0.999955
44 x, -0.006566
44 y, -0.010575
44 z, 0.999923
45 x, -0.003337
45 y, -0.012553
45 z, 0.999916
46 x, -0.005692
46 y, -0.013016
46 z, 0.999899
47 x, -0.001684
47 y, -0.015271
47 z, 0.999882
48 x, -0.001129
48 y, -0.015047
48 z, 0.999886
49 x, 0.000580
49 y, -0.015864
49 z, 0.999874
50 x, 0.002856
50 y, -0.014657
50 z, 0.999889
51 x, 0.003183
51 y, -0.013810
51 z, 0.999900
52 x, 0.005461
52 y, -0.012478
52 z, 0.999907
53 x, 0.006019
53 y, -0.009174
53 z, 0.999940
54 x, 0.007417
54 y, -0.008248
54 z, 0.999938
55 x, 0.007655
55 y, -0.003273
55 z, 0.999965
56 x, 0.008165
56 y, -0.002827
56 z, 0.999963
57 x, 0.011546
57 y, 0.002971
57 z, 0.999929
58 x, 0.011156
58 y, 0.003327
58 z, 0.999932
59 x, 0.010996
59 y, 0.008797
59 z, 0.999901
60 x, 0.009897
60 y, 0.009593
60 z, 0.999905
61 x, 0.009502
61 y, 0.013998
61 z, 0.999857
62 x, 0.007824
62 y, 0.015049
62 z, 0.999856
63 x, 0.007236
63 y, 0.018046
63 z, 0.999811
64 x, 0.004190
64 y, 0.019819
64 z, 0.999795
65 x, 0.005254
65 y, 0.020133
65 z, 0.999784
66 x, 0.001927
66 y, 0.021955
66 z, 0.999757
67 x, 0.001053
67 y, 0.021579
67 z, 0.999767
68 x, -0.000652
68 y, 0.022399
68 z, 0.999749
69 x, -0.003156
69 y, 0.021096
69 z, 0.999772
70 x, -0.003123
70 y, 0.021084
70 z, 0.999773
71 x, -0.005911
71 y, 0.019503
71 z, 0.999792
72 x, -0.006482
72 y, 0.017375
72 z, 0.999828
73 x, -0.008448
73 y, 0.016195
73 z, 0.999833
74 x, -0.008961
74 y, 0.012443
74 z, 0.999882
75 x, -0.010360
75 y, 0.011511
75 z, 0.999880
76 x, -0.010630
76 y, 0.006540
76 z, 0.999922
77 x, -0.011392
77 y, 0.005927
77 z, 0.999918
78 x, -0.011465
78 y, 0.000000
78 z, 0.999934
79 x, -0.011465
79 y, 0.000000
79 z, 0.999934
80 x, -0.011392
80 y, -0.005927
80 z, 0.999918
81 x, -0.010630
