2447680.50621  14.151   0.020
2447680.54283  13.696   0.020
2447680.54904  13.661   0.020
2447680.55208  13.614   0.020
2447680.55775  13.626   0.020
2447680.56204  13.623   0.020
2447680.56596  13.604   0.020
2447680.57104  13.644   0.020
2447680.57521  13.678   0.020
2447680.57850  13.670   0.020
2447680.58183  13.718   0.020
2447680.58558  13.778   0.020
2447680.58867  13.769   0.020
2447680.59196  13.836   0.020
2447680.59525  13.830   0.020
2447680.59892  13.858   0.020
2447680.60692  13.854   0.020
2447680.61067  13.854   0.020
2447680.62925  13.784   0.020
2447680.63279  13.842   0.020
2447680.63596  13.821   0.020
2447680.63929  13.826   0.020
2447680.64246  13.801   0.020
2447680.64596  13.791   0.020
2447680.64938  13.816   0.020
2447680.65279  13.882   0.020
2447680.65579  13.895   0.020
2447680.65900  13.896   0.020
2447680.66242  13.941   0.020
2447680.66533  13.990   0.020
2447680.66846  13.992   0.020
2447680.67150  13.948   0.020
2447680.68921  13.843   0.020
2447680.69221  13.822   0.020
2447680.69529  13.803   0.020
2447680.69871  13.779   0.020
2447680.70200  13.802   0.020
2447680.70533  13.761   0.020
2447680.70879  13.780   0.020
2447680.71192  13.784   0.020
2447680.71533  13.788   0.020
2447680.71833  13.765   0.020
2447680.72138  13.740   0.020
2447680.72450  13.774   0.020
2447680.72771  13.738   0.020
