2447670.64778  13.658   0.020
2447670.65057  13.665   0.020
2447670.65820  13.630   0.020
2447670.66028  13.593   0.020
2447670.66307  13.551   0.020
2447670.66516  13.525   0.020
2447670.66791  13.485   0.020
2447670.67695  13.382   0.020
2447670.68112  13.356   0.020
2447670.68320  13.328   0.020
2447670.68737  13.277   0.020
2447670.69016  13.275   0.020
2447670.69291  13.269   0.020
2447670.70058  13.231   0.020
2447670.70333  13.218   0.020
2447670.70541  13.216   0.020
2447670.70958  13.204   0.020
2447670.71237  13.222   0.020
2447670.72208  13.231   0.020
2447670.72487  13.236   0.020
2447670.72695  13.236   0.020
2447670.73112  13.227   0.020
2447670.73391  13.227   0.020
2447670.73666  13.233   0.020
2447670.74432  13.261   0.020
2447670.74641  13.278   0.020
2447670.75195  13.298   0.020
2447670.75541  13.304   0.020
2447670.75820  13.316   0.020
2447670.76516  13.366   0.020
2447670.76724  13.414   0.020
2447670.76999  13.447   0.020
2447670.77903  13.548   0.020
2447670.78266  13.595   0.020
2447670.78528  13.636   0.020
2447670.79291  13.661   0.020
2447670.79641  13.614   0.020
2447670.80058  13.546   0.020
