2442916.96067  11.928   0.020
2442916.96104  11.898   0.020
2442916.96271  11.857   0.020
2442916.96362  11.968   0.020
2442916.96575  11.986   0.020
2442916.96846  12.018   0.020
2442916.96879  12.097   0.020
2442916.96937  11.939   0.020
2442916.97017  11.978   0.020
2442916.97050  12.047   0.020
2442916.97283  12.159   0.020
2442916.97346  12.038   0.020
2442916.97396  12.169   0.020
2442916.97971  12.131   0.020
2442916.98054  12.030   0.020
2442916.98087  12.110   0.020
2442916.98196  12.253   0.020
2442916.98267  12.151   0.020
2442916.98421  12.251   0.020
2442916.98471  12.232   0.020
2442916.98783  12.263   0.020
2442916.98792  12.333   0.020
2442916.98921  12.354   0.020
2442916.98996  12.373   0.020
2442916.99054  12.193   0.020
2442916.99125  12.498   0.020
2442916.99200  12.355   0.020
2442916.99254  12.437   0.020
2442916.99358  12.415   0.020
2442916.99537  12.244   0.020
2442916.99642  12.427   0.020
2442916.99683  12.306   0.020
2442916.99729  12.155   0.020
2442916.99867  12.366   0.020
2442916.99967  12.406   0.020
2442917.00079  12.397   0.020
2442917.00104  12.227   0.020
2442917.00121  12.480   0.020
2442917.00146  12.229   0.020
2442917.00225  12.305   0.020
